centract2020,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022
36081107202,0,0,0,0,0,0,0,0,0,0,0,0,0
36047066600,0,0,0,0,0,0,0,0,0,0,0,0,0
36047070203,0,0,0,0,0,0,0,0,0,0,0,0,0
36081071600,0,0,0,0,0,0,0,0,0,0,0,0,0
36005050400,0,0,0,0,0,0,0,0,0,0,0,0,0
36005051601,3,1,1,1,-1,2,14,4,10,12,4,1,3
36081010701,0,0,0,0,0,0,0,0,0,0,0,0,0
36085032300,-3,0,-1,0,0,0,0,0,-1,3,-2,1,-2
36085022602,28,19,4,-2,-1,-3,6,-3,-1,-3,4,22,9
36047070602,0,0,0,0,0,0,0,0,0,0,0,0,0
36081091602,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015603,20,3,-1,7,9,0,-2,6,5,3,2,-4,5
36081097207,0,0,0,0,0,0,0,0,0,0,0,0,0
36047062800,1,0,-4,1,6,0,-17,-19,32,7,0,1,3
36085029102,-1,5,15,8,19,2,10,5,9,6,7,6,5
36047070202,0,0,0,0,0,0,0,0,0,0,0,0,0
36081094500,4,2,1,-3,0,2,-1,4,-3,3,-1,-1,4
36081094202,10,21,6,0,-10,-2,-1,1,0,1,0,2,16
36081033100,0,0,0,0,0,0,0,0,0,0,0,0,0
36081092900,0,10,1,-2,3,-1,-1,-3,4,196,10,2,2
36005027402,-1,0,1,0,0,0,1,1,0,0,3,0,0
36081066401,-1,5,-1,2,3,4,2,1,2,3,0,2,1
36081021900,0,0,0,0,0,0,0,0,0,0,0,0,0
36085022801,0,0,0,0,-1,0,0,0,0,-1,0,0,0
36061029900,0,0,0,0,0,0,0,0,0,0,0,0,0
36085990100,0,0,0,0,0,0,0,0,0,0,0,0,0
36085031902,9,14,-4,1,-2,18,2,1,-4,17,11,1,-1
36085031901,0,0,5,1,0,0,0,0,1,2,0,0,0
36085030302,0,0,0,3,2,0,-3,2,0,7,3,4,0
36085030301,0,0,0,0,0,1,0,0,0,0,1,0,7
36085029106,-1,0,0,0,0,0,0,0,0,-2,1,0,1
36085029105,0,2,4,0,0,2,-1,11,0,1,-1,6,8
36085029104,1,0,0,1,11,45,51,22,1,4,-2,0,0
36085027900,1,4,2,3,-2,0,1,5,2,4,7,3,2
36085027706,4,0,0,0,0,0,0,0,0,0,-4,0,0
36085027705,2,0,0,0,0,0,0,2,0,0,0,0,0
36085027704,13,5,18,13,2,2,2,1,0,0,8,0,-2
36085027702,0,0,0,-1,0,10,0,5,4,0,0,0,0
36085027302,0,0,-1,-1,-1,0,5,22,-1,2,3,-1,2
36085027301,1,-1,0,6,73,25,0,0,8,11,11,2,2
36085025100,1,-1,7,4,12,1,9,2,5,2,0,10,-3
36085024800,0,4,4,10,10,13,6,-1,-4,-2,7,11,14
36085024700,0,2,0,2,1,2,2,1,-2,4,-1,2,-1
36085024402,23,11,15,20,6,-2,17,12,21,0,15,8,8
36085024401,7,5,8,1,-3,-3,17,11,11,10,23,24,10
36085023900,1,6,2,7,3,1,0,1,2,0,0,6,0
36085023100,2,-1,2,3,16,4,5,4,13,7,10,4,4
36085022802,0,0,0,0,0,0,0,0,0,0,0,0,0
36085022601,-2,24,6,11,6,3,9,12,57,55,19,2,14
36085022300,1,13,0,3,2,6,6,1,1,7,3,7,-2
36085021300,0,2,5,3,-1,1,5,2,1,3,3,1,1
36085020806,10,4,18,8,-1,2,8,24,20,0,0,-1,0
36085020805,6,0,4,4,0,-4,4,2,-1,-2,0,13,8
36085020804,13,18,4,13,23,15,-1,1,21,-2,12,6,-3
36085020803,26,55,43,75,50,45,33,33,31,7,4,17,14
36085020702,2,4,0,-3,4,0,5,3,-2,-4,0,10,48
36085020701,1,1,1,0,5,-1,53,16,53,40,2,5,-2
36085020100,1,11,-1,0,0,0,-2,3,0,-1,0,4,-2
36085019800,28,7,29,9,27,6,11,22,4,21,15,31,42
36085019700,1,1,3,0,-1,0,0,1,0,1,0,0,0
36085018902,7,3,1,6,1,4,-1,0,0,0,0,1,0
36085018901,0,5,12,2,5,0,9,1,8,4,4,9,9
36085018704,0,1,1,0,0,0,1,0,1,0,0,13,0
36085018703,3,0,1,0,-1,-1,3,9,0,1,1,2,5
36085018701,0,-1,0,0,2,0,-1,1,2,1,8,-1,4
36085018100,5,1,3,8,3,0,16,7,160,-1,6,1,0
36085017702,0,0,0,0,-1,0,-1,-1,-1,-1,-1,3,11
36085017701,8,3,2,0,-2,-3,0,7,9,2,2,3,1
36085017600,5,3,15,4,-3,-5,26,17,26,27,8,3,4
36085017300,0,0,5,-1,-2,10,0,0,0,0,0,0,3
36085017016,0,-1,0,0,0,0,2,0,0,1,0,0,-1
36085017015,14,4,4,0,-2,2,5,6,-1,6,3,3,0
36085017014,6,1,0,0,0,4,3,6,6,5,5,10,12
36085017013,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017012,0,1,0,10,1,5,5,6,1,-1,3,4,0
36085017011,2,6,1,11,-3,4,12,4,3,-2,19,4,6
36085017009,2,1,14,14,14,10,2,12,14,12,5,15,9
36085017007,-1,45,26,28,20,9,0,0,0,4,5,4,0
36085017005,0,5,9,18,36,30,14,3,16,26,18,1,1
36085016901,5,1,4,2,1,5,-1,1,0,8,2,0,0
36085015602,10,1,0,2,-2,2,0,-2,1,4,0,-1,0
36085015601,11,8,5,2,5,3,9,11,10,14,7,13,-1
36085015400,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015100,0,0,-2,0,1,7,2,1,2,0,1,0,0
36085014700,0,0,-1,1,0,-1,0,0,0,0,2,-1,-1
36085014608,0,0,2,2,0,-1,1,1,3,4,0,-1,2
36085014607,1,0,0,0,-1,3,8,8,0,4,0,20,2
36085014606,0,2,1,0,2,-1,-1,0,1,2,11,1,0
36085014605,20,3,-2,3,0,1,0,6,0,5,0,0,-3
36085014604,9,7,3,1,5,5,3,4,3,-1,2,0,12
36085014100,0,0,4,0,0,1,0,2,0,6,-1,0,2
36085013800,0,2,-1,2,2,-1,-4,3,4,12,5,9,2
36085013400,4,1,11,1,1,-4,5,-1,0,13,10,11,8
36085013302,1,4,2,2,1,-1,1,-1,-4,0,-9,4,1
36085013301,0,0,0,0,0,0,0,0,0,0,0,0,0
36085013204,13,1,0,11,0,1,-1,1,-2,8,4,3,4
36085013203,5,4,2,12,7,3,-1,3,5,-1,0,3,17
36085013201,0,-1,1,3,4,-2,1,0,-1,0,1,2,-2
36085012806,0,-1,-33,4,-2,-2,2,1,1,3,7,1,0
36085012805,16,-2,2,-11,-49,-1,-1,1,1,0,11,0,2
36085012804,1,4,-4,-27,-2,0,3,14,17,6,4,-2,6
36085012500,0,1,0,0,1,-1,12,2,2,-1,0,1,0
36085012200,4,0,4,-2,2,2,6,-3,5,16,3,2,0
36085012100,1,-1,-1,1,0,0,5,-2,7,1,-1,0,0
36085011402,6,4,1,6,1,2,3,4,4,4,1,0,2
36085011401,2,4,1,1,-1,3,0,0,-1,0,1,5,-2
36085011204,0,0,0,0,0,0,0,0,0,0,0,0,0
36085011203,5,13,18,-4,-4,15,-9,-33,64,18,14,4,-5
36085011201,6,18,4,-18,-3,7,8,-11,23,11,2,5,-3
36085010500,0,5,4,5,-1,-3,3,-1,0,18,-1,2,4
36085009702,0,0,0,0,0,0,0,0,0,0,0,0,0
36085009701,55,3,1,80,0,0,0,7,2,10,0,0,0
36085009602,7,13,10,2,7,3,10,8,7,15,4,18,21
36085009601,2,0,2,0,4,7,-3,4,1,-3,2,3,-2
36085008100,6,60,6,10,7,2,0,1,0,-1,4,0,0
36085007700,2,0,0,0,0,3,8,2,5,-1,10,2,0
36085007500,2,0,-2,0,-1,-296,5,-1,1,3,3,4,0
36085007400,3,1,1,-2,-2,4,0,-2,10,16,11,-1,-1
36085007002,19,8,15,9,3,0,-4,-8,22,17,3,3,2
36085007001,10,6,-1,3,2,7,3,0,-2,0,3,1,7
36085006700,1,0,-2,1,0,-1,0,0,-1,0,-1,4,1
36085006400,4,0,5,2,2,0,1,1,2,3,1,4,-1
36085005902,0,0,0,0,0,0,0,0,0,0,0,0,0
36085005901,1,0,4,2,2,2,5,0,0,1,0,-1,0
36085005000,0,0,1,3,4,0,6,3,20,2,5,5,0
36085004700,113,3,0,0,1,0,0,-1,0,2,1,3,2
36085004004,0,3,2,0,0,5,11,6,-1,2,2,0,0
36085004003,0,0,0,5,0,0,0,0,0,0,0,0,1
36085004002,0,0,0,0,4,34,42,21,0,0,0,0,0
36085004001,1,2,0,1,0,2,0,-1,11,-1,4,0,0
36085003900,1,0,0,-1,0,0,0,1,2,18,0,0,0
36085003600,1,20,4,-1,5,14,-2,6,0,-1,-1,2,6
36085003300,0,6,-1,1,0,0,4,0,0,0,0,0,0
36085002900,114,2,6,3,-2,3,0,3,0,5,5,1,9
36085002700,-3,6,0,0,8,0,0,0,-46,0,4,0,0
36085002100,7,21,93,-8,0,1,572,66,-3,13,11,2,0
36085002002,-1,7,5,1,0,1,-2,6,4,2,4,0,2
36085002001,-1,0,7,3,0,0,4,0,1,0,4,13,2
36085001800,0,0,0,0,0,0,0,0,0,0,0,0,0
36085001700,7,0,0,39,-1,2,0,0,-1,4,4,0,2
36085001100,8,16,13,2,10,5,5,38,3,-6,5,11,2
36085000900,0,2,1,0,1,0,0,7,0,0,0,9,0
36085000800,5,7,4,8,3,16,3,-1,9,3,-1,10,5
36085000700,-2,1,-1,1,0,0,0,0,0,0,0,0,0
36085000600,5,0,-3,3,3,0,3,0,-2,5,-1,-1,0
36085000300,6,4,0,0,0,-2,0,0,-1,0,-1,2,0
36081162100,7,6,0,3,4,4,1,-3,0,3,1,1,0
36081161700,0,1,-2,4,4,1,0,1,1,0,0,1,0
36081157903,-1,-2,3,1,-1,0,-1,-1,1,1,-1,1,0
36081157902,2,1,1,0,1,0,1,0,-2,-1,0,-1,0
36081157901,-1,-1,0,1,1,-1,2,0,-1,1,0,2,0
36081157102,2,3,1,-1,0,0,2,3,1,0,1,0,0
36081157101,1,-1,1,2,5,0,1,1,2,0,3,0,0
36081156700,0,0,0,0,0,0,0,0,0,0,0,0,0
36081155104,0,0,0,0,0,1,0,0,0,1,0,0,0
36081155103,0,0,0,1,-1,-1,4,-2,2,1,0,-1,1
36081155101,0,0,0,0,0,0,0,0,0,0,0,0,0
36081152902,0,3,4,5,9,-3,-1,8,2,6,4,5,4
36081152901,3,3,-1,4,1,4,7,-2,1,2,3,4,0
36081150702,4,9,2,-1,0,-1,4,0,-4,-1,1,1,5
36081150701,1,0,3,2,0,-1,-1,4,0,2,-1,0,1
36081148300,3,0,1,-1,1,2,0,0,-1,0,1,0,3
36081147900,5,0,1,-1,3,3,-4,4,4,5,0,3,0
36081147100,0,4,0,1,3,-2,4,3,2,-1,2,1,-1
36081146700,0,10,-1,3,31,6,6,-2,4,1,0,6,0
36081146300,0,2,1,0,1,2,1,-2,0,5,2,2,1
36081145900,0,1,0,4,2,3,2,0,1,4,2,2,-1
36081145102,6,1,7,1,0,2,-3,6,2,1,4,1,0
36081145101,0,0,0,-3,6,2,0,0,2,4,1,0,1
36081144700,11,10,0,5,4,-1,-6,-2,8,6,7,2,6
36081144100,0,0,0,0,0,0,1,5,0,1,1,2,0
36081143500,1,0,2,1,1,5,-1,2,0,3,15,0,2
36081142900,14,22,-1,0,3,0,-1,2,2,1,4,1,3
36081141700,7,3,1,36,5,0,-1,0,2,0,1,1,0
36081140902,10,11,0,-1,0,1,-1,0,3,0,-1,0,2
36081140901,1,0,0,-1,0,0,0,0,0,0,0,0,0
36081140300,-1,1,0,0,0,0,-1,0,0,0,0,0,0
36081139900,0,0,0,0,0,0,0,0,0,0,0,0,-1
36081138502,0,0,0,0,0,0,0,0,0,0,0,0,0
36081138501,1,3,1,3,-1,0,0,1,1,2,2,3,3
36081137700,18,16,7,9,5,15,8,3,8,8,12,0,12
36081136700,1,1,-1,1,2,3,4,2,0,-1,2,11,-1
36081134702,0,0,0,0,0,0,0,0,0,0,0,0,0
36081134701,6,2,4,0,0,0,0,0,1,8,0,0,-1
36081134100,0,1,7,8,0,4,0,-1,0,3,2,1,3
36081133900,0,0,0,0,0,0,0,0,0,0,-1,0,-1
36081133300,1,0,3,0,1,0,-1,0,1,0,1,0,0
36081130100,1,0,-1,1,1,0,1,-1,0,1,0,0,1
36081129104,0,0,-1,0,1,0,-1,0,1,0,0,0,0
36081129103,-1,0,1,0,0,0,0,1,0,0,0,0,0
36081129102,2,2,2,-1,0,0,1,5,0,-2,1,0,0
36081128300,0,0,0,0,0,0,0,0,0,0,0,0,0
36081127700,3,-6,-1,-1,-2,-2,0,-1,0,1,2,1,1
36081126700,1,1,0,1,0,-1,2,0,2,-1,4,204,3
36081126500,0,0,-1,0,0,0,2,0,0,1,1,0,0
36081125700,1,4,5,4,1,3,6,3,52,3,1,2,7
36081124700,-1,1,4,1,1,3,1,1,2,0,1,2,2
36081124100,2,0,8,-1,3,6,2,3,0,6,7,0,4
36081122704,7,29,31,0,-1,0,36,10,1,-1,-5,10,1
36081122703,3,9,6,5,0,-1,-2,2,3,0,0,11,1
36081122702,-2,76,0,2,0,0,0,0,12,55,0,0,5
36081122300,-1,3,3,9,7,-7,6,7,0,2,2,8,3
36081121500,7,1,4,3,4,8,2,4,3,8,9,1,8
36081121100,0,0,0,0,0,0,0,0,0,0,0,0,0
36081120702,0,0,0,0,0,0,0,0,0,0,0,0,0
36081120701,-1,10,0,0,0,0,3,-2,-1,5,2,2,1
36081120500,4,-1,3,4,2,0,-8,-2,12,9,5,6,0
36081120300,-2,1,4,1,0,-1,-1,0,4,-2,3,1,2
36081120100,2,3,-1,7,1,-3,1,2,-1,2,16,2,0
36081119900,0,0,0,0,1,0,0,0,-1,0,0,2,0
36081119500,2,0,4,0,0,-1,1,3,0,1,0,1,0
36081119300,-2,3,0,1,1,1,-3,0,-4,5,2,4,4
36081119100,4,5,-1,2,-7,-1,6,2,8,8,2,11,6
36081118900,1,2,4,6,-2,-1,1,-4,2,7,5,1,1
36081118700,5,0,3,2,-5,8,4,1,4,4,-2,6,5
36081118500,0,8,-1,2,0,10,1,-2,17,1,1,0,11
36081118100,10,1,21,-1,-3,0,3,7,-2,4,2,0,-1
36081117500,30,15,1,3,2,0,3,3,11,0,0,23,2
36081117100,6,-2,-1,2,0,-2,11,0,1,0,0,-3,0
36081116700,1,0,11,-1,-4,1,6,12,3,3,1,-1,2
36081116302,2,25,1,-7,0,0,0,12,1,1,0,0,11
36081116301,0,-1,0,0,1,-23,-6,1,0,107,103,34,14
36081116100,-1,0,0,18,0,4,1,0,-1,0,0,0,-1
36081115900,0,-4,1,0,0,-15,0,-2,54,1,0,-1,2
36081115700,-1,1,9,28,4,0,2,1,-1,0,1,3,0
36081115500,0,3,2,0,-2,-1,1,4,0,-2,2,-1,0
36081115100,0,0,1,0,-1,-2,-1,1,0,-1,-1,0,1
36081114700,1,1,1,1,0,-1,-3,1,0,3,0,0,0
36081114100,0,0,0,0,0,0,0,1,0,1,1,0,0
36081113900,2,1,-3,7,3,-1,-8,1,-4,4,0,1,0
36081113300,0,-1,0,1,0,0,-1,2,1,1,0,2,0
36081112900,3,2,0,0,-1,0,1,0,0,-2,0,1,0
36081112300,5,4,-2,1,5,1,1,-1,0,2,5,-2,-2
36081111300,0,3,2,0,1,-2,4,2,10,2,1,1,7
36081109900,2,23,0,4,-1,-1,0,0,2,-2,0,2,4
36081109700,0,0,0,0,0,0,-1,-1,-1,15,-1,0,-1
36081109300,1,0,0,-1,-1,-4,0,0,0,-2,1,1,0
36081108500,5,-1,2,0,1,0,1,-1,0,2,3,0,0
36081107201,4,1,-1,-2,-11,-3,-10,-2,0,9,4,-1,-2
36081105900,0,4,1,0,-1,-2,5,1,1,0,0,1,0
36081104700,4,4,5,-2,13,1,4,5,4,4,2,3,4
36081103900,6,7,0,1,0,3,12,2,5,3,14,7,4
36081103300,-7,13,12,-1,7,3,8,-1,6,0,8,1,3
36081103202,-2,-12,2,15,-1,-3,0,2,-1,-6,6,142,772
36081103201,0,6,1,-1,0,0,0,0,2,0,0,9,-2
36081102900,1,4,4,0,-2,6,4,-1,23,10,0,0,1
36081101700,4,3,0,0,1,0,-1,-1,3,1,9,3,1
36081101004,0,-2,0,0,0,5,1,-1,1,1,0,0,0
36081101003,6,17,1,-7,0,0,0,0,0,0,0,63,253
36081101002,-1,1,3,4,2,-2,-2,13,50,-1,5,-1,-1
36081100804,0,6,2,0,0,0,0,0,0,0,0,-2,2
36081100803,2,-2,1,66,-1,-4,-2,-2,41,0,6,12,226
36081100801,1,0,0,0,0,0,0,0,0,0,-1,0,0
36081099900,0,0,-1,0,0,0,0,0,0,0,0,-24,0
36081099802,1,0,1,0,4,0,0,3,2,0,15,3,4
36081099801,0,8,5,0,6,7,0,-1,0,1,7,0,1
36081099705,1,0,0,0,1,0,0,1,3,0,0,1,2
36081099704,0,1,0,0,0,0,0,0,0,0,0,-6,16
36081099703,0,0,0,0,0,-2,-1,2,-2,1,0,2,18
36081099701,4,0,1,-1,3,5,2,0,1,-1,-1,2,0
36081099200,5,2,0,0,9,0,-2,-2,156,1,2,10,0
36081099100,-13,-1,3,3,-2,0,2,2,2,-1,2,0,2
36081098700,-2,2,-1,-1,1,5,-1,-1,2,-2,3,1,-1
36081098100,2,1,-1,0,1,0,-1,3,7,4,4,0,0
36081097300,-3,-2,1,1,1,-3,1,1,0,0,1,0,0
36081097206,1,-3,-5,-1,-2,-1,4,1,1,5,-5,-3,5
36081097205,0,0,0,0,0,0,0,0,0,24,0,0,0
36081097204,0,0,0,0,0,0,0,100,0,129,0,-2,2
36081097202,0,0,0,0,0,0,0,0,0,0,0,0,0
36081096400,74,117,87,82,88,107,58,2,10,63,8,5,16
36081095400,8,3,5,2,4,0,-7,-1,127,14,4,103,15
36081094700,2,0,0,0,2,0,-1,3,-3,4,-1,0,2
36081094203,-4,0,0,0,0,0,7,64,-1,2,0,0,0
36081094201,85,-13,22,-2,32,0,-3,0,0,26,-3,-3,18
36081093900,61,87,64,39,15,42,1,8,0,8,2,0,3
36081093800,1,1,0,-5,0,0,1,-9,27,31,6,-1,3
36081093402,0,2,8,-3,1,-4,-3,-1,0,0,85,3,0
36081093401,0,-1,-3,-2,-4,17,0,6,6,1,0,-1,2
36081092800,3,0,0,-10,0,0,-1,4,3,2,1,-3,-1
36081092500,12,0,2,3,1,2,-2,-1,7,1,1,-1,0
36081092200,1,0,1,-5,-6,3,0,0,1,2,1,1,-1
36081091900,17,2,11,16,0,2,1,-2,0,11,0,3,5
36081091800,0,0,0,0,0,0,0,0,0,0,0,0,0
36081091604,0,0,0,0,0,0,0,0,0,0,0,0,0
36081091603,-2,6,2,-56,-9,64,59,65,36,3,7,14,24
36081090700,-2,-2,-2,-7,-2,-3,0,0,0,-1,0,3,1
36081089202,0,0,0,0,0,0,0,0,0,0,0,0,0
36081089201,-1,7,0,-1,1,2,-2,0,0,6,0,0,0
36081088903,2,1,0,0,1,1,1,0,1,2,0,0,0
36081088902,59,18,17,0,17,64,1,45,33,26,1,0,-4
36081088400,6,7,-2,95,6,6,0,2,-1,7,-13,-4,3
36081087100,0,0,80,0,260,-2,148,1,0,419,0,135,21
36081086900,6,17,-1,-3,-7,-2,37,-10,64,99,10,-2,0
36081086500,0,0,27,-1,20,0,0,89,0,90,0,0,1
36081086400,1,1,1,6,-1,0,0,-1,0,1,1,0,0
36081086300,13,0,-4,0,0,0,0,22,0,23,0,0,131
36081086100,12,-2,4,-1,0,13,28,4,-4,-8,-1,2,74
36081085900,37,10,19,59,0,0,1,-1,0,-3,1,-1,32
36081085700,-1,27,-2,34,0,0,0,0,-9,-2,-2,95,6
36081085500,0,25,0,-1,0,0,26,0,0,-18,0,0,0
36081085300,1,0,-1,79,0,0,0,1,-2,28,0,0,0
36081084902,52,49,0,0,-2,-5,1,-10,8,16,0,8,40
36081084901,48,-3,0,-2,6,24,23,9,0,60,80,3,2
36081084602,0,0,1,0,0,0,0,1,0,1,2,0,1
36081084601,2,2,2,2,3,1,7,1,1,9,3,1,5
36081084500,1,0,-1,90,7,1,4,-1,3,-2,0,5,5
36081084000,4,8,3,7,9,1,4,5,5,1,2,-3,1
36081083800,2,8,3,7,1,4,-2,-1,5,4,2,-1,1
36081083700,9,3,14,10,19,7,18,6,16,18,8,7,5
36081081800,3,-1,4,1,0,1,-1,1,2,5,3,4,9
36081081400,2,6,2,-1,2,10,-2,3,11,0,9,3,5
36081080900,1,1,0,1,1,0,0,0,1,3,2,0,1
36081080302,0,7,1,5,-1,9,9,10,8,8,9,5,7
36081080301,15,4,7,5,4,1,10,3,7,4,11,3,1
36081079900,8,-4,17,0,12,9,17,2,-1,27,0,5,10
36081079702,66,62,-4,10,43,0,1,0,-2,0,1,13,0
36081079701,6,-1,6,0,-1,0,11,1,2,42,0,-1,0
36081079300,0,0,0,0,0,0,0,0,0,0,0,0,0
36081079200,3,1,3,3,4,0,2,0,2,3,1,0,5
36081079000,6,2,-2,3,-1,0,5,-1,10,2,3,1,4
36081078800,1,0,-2,0,2,3,0,0,1,0,2,0,2
36081077908,12,0,0,-1,0,0,1,24,0,1,0,44,0
36081077907,2,3,2,1,0,1,1,1,0,1,2,0,0
36081077906,0,0,0,-1,2,0,0,0,0,0,0,0,2
36081077905,0,0,0,0,0,0,0,0,0,0,0,0,0
36081077904,2,2,2,2,1,2,1,3,2,0,2,3,2
36081077903,0,1,0,0,0,0,-1,-1,0,1,0,-2,0
36081077902,2,-2,-2,0,1,-1,1,0,-1,-3,0,0,-2
36081077500,1,0,0,0,0,0,2,0,0,0,0,0,1
36081077300,0,0,0,0,0,0,0,0,0,0,0,0,0
36081076902,0,0,0,0,0,0,0,0,0,0,-1,0,0
36081076901,1,0,0,0,0,0,0,0,0,0,0,0,1
36081075702,3,0,-1,-1,2,0,2,1,2,2,0,1,-2
36081075701,0,0,0,0,0,0,0,0,0,-1,0,0,0
36081074900,0,0,0,-1,0,0,0,0,0,0,0,0,0
36081074700,0,-2,3,0,1,0,0,0,0,9,0,0,0
36081074500,12,0,0,0,2,0,0,1,0,0,0,0,442
36081074300,0,0,1,0,0,0,0,0,2,1,0,0,16
36081074100,1,0,0,0,-1,0,1,0,0,-1,0,0,0
36081073900,-4,0,1,0,0,97,0,5,0,0,0,0,0
36081073700,-3,0,0,0,0,-4,-1,0,44,23,0,-1,0
36081073100,0,1,0,0,0,0,0,0,0,0,0,0,-1
36081072900,0,-1,0,1,0,0,0,1,0,0,1,0,0
36081072300,0,1,0,0,0,0,1,0,0,0,-2,0,0
36081072100,0,-1,0,0,0,1,0,0,0,0,1,0,1
36081071900,6,2,0,6,1,0,5,1,1,-1,-1,1,12
36081071702,0,0,0,0,0,312,0,0,0,0,0,0,0
36081071701,3,0,67,-3,-1,-16,18,0,58,0,-1,35,31
36081071306,-1,33,0,22,-3,0,0,-1,22,0,0,0,0
36081071305,0,0,0,0,-1,0,0,0,0,0,0,0,0
36081071304,0,0,0,0,38,0,1,0,0,0,0,0,-19
36081071303,1,0,0,0,0,0,0,0,0,0,0,0,0
36081071100,0,0,1,1,1,27,0,0,0,1,0,75,-2
36081070900,-2,0,2,0,0,0,1,2,0,0,0,1,0
36081070700,0,0,0,2,0,0,0,0,0,0,0,0,0
36081070300,0,0,0,0,0,0,0,0,0,0,0,0,18
36081069702,1,-1,1,0,0,0,-1,1,-2,-2,0,2,0
36081069701,69,32,0,16,17,22,1,83,45,2,0,2,0
36081069500,0,0,1,-1,0,0,0,0,8,1,0,0,0
36081069400,2,0,4,-2,4,2,4,2,3,1,8,8,1
36081069300,0,0,2,0,0,0,0,0,0,0,0,1,0
36081069000,8,20,3,9,1,5,1,4,2,3,2,0,2
36081068700,1,3,7,0,2,1,0,0,0,0,1,0,0
36081068300,0,0,0,0,-1,0,0,0,0,1,0,0,0
36081068200,1,0,1,0,0,5,1,2,0,0,1,1,0
36081068000,1,2,2,12,11,8,2,11,3,3,9,7,2
36081067900,0,3,4,1,0,0,0,0,2,94,2,0,0
36081067700,-1,0,0,0,0,0,-1,2,0,1,0,1,0
36081067100,0,0,0,1,-1,0,0,1,6,1,0,0,0
36081066900,2,0,1,4,0,0,0,1,0,0,0,1,0
36081066701,0,0,-1,0,1,0,6,0,0,0,0,0,0
36081066501,1,3,1,0,0,2,-1,-1,2,0,0,1,0
36081066404,0,0,0,0,0,0,0,0,0,0,0,0,0
36081066403,2,1,1,0,0,0,0,0,0,0,0,0,0
36081066402,1,-1,8,3,4,0,2,2,2,1,2,0,1
36081066302,0,0,0,0,0,0,0,0,0,0,0,0,0
36081066301,0,1,0,0,2,1,0,0,0,2,1,2,2
36081066100,0,1,0,0,-1,0,1,0,0,0,0,0,0
36081066000,0,2,3,2,1,2,2,9,0,3,2,2,3
36081065900,1,0,1,2,0,0,-1,0,1,0,1,0,1
36081065703,7,2,2,-2,0,0,0,2,-3,0,1,0,-2
36081065702,2,0,0,-2,6,0,0,-2,0,0,0,6,0
36081065600,35,6,6,3,2,2,2,2,0,2,14,2,3
36081065501,0,0,0,0,0,0,0,0,0,0,0,0,0
36081065402,0,0,0,0,0,0,0,0,0,0,0,0,0
36081065401,0,0,6,0,-1,0,0,3,2,5,2,0,5
36081065000,1,1,0,0,1,2,0,0,2,0,2,0,0
36081064600,1,0,0,0,1,0,0,0,5,2,0,0,1
36081064500,0,0,-1,0,0,1,0,0,0,1,1,0,1
36081064102,0,0,0,0,0,0,0,0,0,0,0,0,0
36081064101,0,0,0,0,0,0,0,0,0,0,0,0,0
